Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","134","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2014","2014","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142015","2014-2015","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","133","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2015","2015","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152016","2015-2016","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","133","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2016","2016","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","133","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2017","2017","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","134","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2018","2018","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","134","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2019","2019","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2020","2020","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","19992001","1999-2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2000","2000","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20002002","2000-2002","I$ per person","469","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2001","2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20012003","2001-2003","I$ per person","496","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","2002","2002","","","","",""
