Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","1995","1995","tonnes","865","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","1996","1996","tonnes","877","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","1997","1997","tonnes","1251","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","1998","1998","tonnes","870","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","1999","1999","tonnes","830","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2000","2000","tonnes","585","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2001","2001","tonnes","674","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2002","2002","tonnes","452","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2003","2003","tonnes","631","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2004","2004","tonnes","478","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2005","2005","tonnes","683","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2006","2006","tonnes","845","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2007","2007","tonnes","698","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2008","2008","tonnes","946","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2009","2009","tonnes","1016","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2010","2010","tonnes","1205","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2011","2011","tonnes","2202","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2012","2012","tonnes","2360","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5141","Food supply quantity (tonnes)","2558","Rape and Mustardseed","2013","2013","tonnes","2972","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1961","1961","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1962","1962","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1963","1963","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1964","1964","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1965","1965","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1966","1966","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1967","1967","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1968","1968","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1969","1969","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1970","1970","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1971","1971","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1972","1972","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1973","1973","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1974","1974","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1975","1975","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1976","1976","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1977","1977","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1978","1978","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1979","1979","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1980","1980","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1981","1981","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1982","1982","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1983","1983","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1984","1984","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1985","1985","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1986","1986","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1987","1987","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1988","1988","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1989","1989","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1990","1990","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1991","1991","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1992","1992","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5153","Other uses (non-food)","2558","Rape and Mustardseed","1993","1993","","","",""
